timestamp,n_paths,p5_w,p25_w,p50_w,p75_w,p95_w,p5_cagr,p25_cagr,p50_cagr,p75_cagr,p95_cagr
2025-06-04 19:32,20000,160049.0,160049.0,160049.0,160049.0,160049.0,3.06,3.06,3.06,3.06,3.06
2025-06-04 19:48,20000,169959.0,169959.0,169959.0,169959.0,169959.0,3.21,3.21,3.21,3.21,3.21
2025-06-04 20:52,20000,169959.0,169959.0,169959.0,169959.0,169959.0,3.21,3.21,3.21,3.21,3.21
2025-06-04 20:53,1000,4947.0,4947.0,4947.0,4947.0,4947.0,-5.52,-5.52,-5.52,-5.52,-5.52
2025-06-04 20:55,2000,322028.0,322028.0,322028.0,322028.0,322028.0,4.87,4.87,4.87,4.87,4.87
2025-06-04 20:59,2000,69127.0,161809.0,278860.0,476951.0,1057188.0,0.92,3.08,4.5,5.91,8.04
2025-06-04 21:00,2000,69475.0,164851.0,274391.0,477584.0,1080021.0,0.93,3.13,4.45,5.91,8.09
